name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Some Girls Are Bigger Than Others - 2011 Remaster,Complete,The Smiths,3GpiJvVSxvd5KpYqzYOUuV,2011-09-26,36,0.525,0.927,0.308,-9.561,0
A Rush and a Push and the Land Is Ours - 2011 Remaster,Complete,The Smiths,4FPjs0zpLF5JayIcwsYudz,2011-09-26,31,0.67,0.64,0.633,-9.024,0
I Started Something I Couldn't Finish - 2011 Remaster,Complete,The Smiths,2gFbOnJ0kCntafvibQoggz,2011-09-26,29,0.581,0.851,0.703,-5.723,0
Death of a Disco Dancer - 2011 Remaster,Complete,The Smiths,1CkyIzJlawIIYmOxp4iRMN,2011-09-26,28,0.26,0.864,0.56,-7.599,0
Girlfriend in a Coma - 2011 Remaster,Complete,The Smiths,2E7YpXbtzQb5MZJMVQOXM9,2011-09-26,34,0.68,0.626,0.96,-8.519,0
Stop Me If You Think You've Heard This One Before - 2011 Remaster,Complete,The Smiths,12I5T5G9zY2Qy5EtrB09BH,2011-09-26,32,0.569,0.856,0.66,-6.668,0
Last Night I Dreamt That Somebody Loved Me - 2011 Remaster,Complete,The Smiths,5pX5xLKjd9QWK95l37ZfBz,2011-09-26,31,0.132,0.435,0.0679,-9.381,1
Unhappy Birthday - 2011 Remaster,Complete,The Smiths,6VuOyEDd5qU4c4onPAGPj7,2011-09-26,28,0.61,0.577,0.431,-9.517,1
Paint a Vulgar Picture - 2011 Remaster,Complete,The Smiths,4QDKpyCb2oqYbOg1tnBEn5,2011-09-26,27,0.559,0.679,0.65,-6.796,0
Death at One's Elbow - 2011 Remaster,Complete,The Smiths,6lf5aPfoVJTTBFXT51NNuA,2011-09-26,25,0.631,0.965,0.625,-6.327,0
I Won't Share You - 2011 Remaster,Complete,The Smiths,79sdLyMW4Et1QZEliydHgS,2011-09-26,28,0.515,0.378,0.436,-11.032,1
